time;m_acc_x;m_acc_y;m_acc_z;m_accG_x;m_accG_y;m_accG_z;m_rotTate_alpha;m_rotTate_beta;m_rotTate_gamma;p_lat;p_long;p_alt;p_acc;p_head;p_speed;steps;distance
2902.0;0.2;-0.3;-0.9;0.5;2.8000000000000003;8.3;-8.899999999999999;1.8000000000000005;-8.100000000000001;55.60916387;13.00431369;20.46484375;7.586406230926514;62.900001525878906;0.6499999761581421;1.0;1.0875000000000012
3903.0;-0.1;-0.3;0.7000000000000001;-0.1;2.5;10.1;-10.6;-3.3000000000000007;3.5;55.60915626;13.00433928;24.99542236328125;6.184424877166748;73.19999694824219;0.7599999904632568;1.0;1.856250000000012
4885.0;-0.2;-0.6000000000000001;0.9;0.6000000000000001;2.7;10.0;21.9;-0.5;24.8;55.60916213;13.00436419;25.8165283203125;5.479763984680176;73.19999694824219;0.8999999761581421;1.0;2.770491803278679
5902.0;1.1;0.6000000000000001;3.0;1.4;3.6;12.2;5.6;-1.0;5.2;55.60916887;13.00437918;27.39886474609375;5.0419464111328125;73.19999694824219;0.8199999928474426;1.0;3.75833333333333
6885.0;0.4;0.0;-2.3000000000000003;0.8;2.8000000000000003;7.1000000000000005;7.9;11.5;-12.8;55.60917365;13.0043927;28.970458984375;4.579061508178711;72.9000015258789;0.9800000190734864;1.0;4.7226890756302495
7887.0;0.0;0.2;4.1000000000000005;0.8;2.8000000000000003;13.1;-53.0;-41.3;-28.0;55.60917722;13.00440809;30.4503173828125;4.387816905975342;71.19999694824219;0.9900000095367432;1.0;5.707317073170707
8885.0;-0.4;-0.3;-1.2000000000000002;0.5;3.1;8.0;-6.600000000000001;-16.1;-3.5;55.60917889;13.00442102;32.71075439453125;4.27872371673584;71.30000305175781;0.9100000262260436;1.0;6.714285714285712
9903.0;-0.1;-0.5;0.7000000000000001;0.5;1.9;10.1;-9.1;-12.8;4.9;55.60918257;13.00443635;33.37640380859375;4.336165904998779;70.30000305175781;0.959999978542328;1.0;7.72881355932207
10904.0;-0.1;-0.1;0.5;0.8;1.9;10.0;22.2;1.9;8.899999999999999;55.6091862;13.00445491;34.1524658203125;4.3973493576049805;74.19999694824219;1.0299999713897705;1.0;8.834951456310641
11902.0;0.5;0.3;-2.2;2.0;2.3000000000000003;7.300000000000001;16.200000000000003;17.5;-6.1000000000000005;55.60918882;13.00447396;36.14019775390625;4.628353595733643;84.5999984741211;1.1299999952316284;1.0;10.084112149532707
12901.0;0.2;-0.4;1.2000000000000002;1.4;1.6;10.7;7.300000000000001;13.900000000000002;20.3;55.60919065;13.00449253;37.282470703125;4.628610610961914;81.69999694824219;1.1399999856948853;1.0;11.181034482758625
13889.0;-1.0;-1.4;-1.8;0.6000000000000001;2.3000000000000003;7.0;-8.899999999999999;-4.300000000000001;-17.5;55.60919256;13.00451097;37.00555419921875;4.276278972625732;77.5;1.100000023841858;10.78048780487802;12.270491803278714
14885.0;-0.5;-0.6000000000000001;-0.1;1.4;2.3000000000000003;9.0;24.9;2.3;18.4;55.60919405;13.00452556;37.79339599609375;4.337449073791504;77.19999694824219;1.0499999523162842;11.77868852459024;13.320388349514548
15903.0;-0.6000000000000001;-0.1;3.2;1.0;2.5;13.0;11.1;8.2;23.5;55.60919547;13.00454043;37.5489501953125;4.3723673820495605;77.30000305175781;1.0800000429153442;13.773109243697476;14.438596491228084
16885.0;0.6000000000000001;0.7000000000000001;-0.7000000000000001;2.0;3.2;8.700000000000001;-8.8;10.9;-23.3;55.60919637;13.00455445;37.93524169921875;4.482861042022705;76.5;1.0099999904632568;15.781512605042014;15.491379310344838
17885.0;1.5;0.4;-0.1;3.3000000000000003;2.3000000000000003;9.3;49.7;-22.9;24.0;55.60919835;13.00457229;38.556396484375;4.417261123657227;77.5999984741211;1.1100000143051147;16.766129032258043;16.59047619047619
