time;m_acc_x;m_acc_y;m_acc_z;m_accG_x;m_accG_y;m_accG_z;m_rotTate_alpha;m_rotTate_beta;m_rotTate_gamma;p_lat;p_long;p_alt;p_acc;p_head;p_speed;steps;distance
2137.0;-0.7000000000000001;-0.4;2.9000000000000004;-2.2;1.7000000000000002;12.8;-40.8;10.1;-7.300000000000001;55.60862948;13.00426429;41.87603759765625;7.572926044464111;161.60000610351562;1.4500000476837158;1.0;2.5494505494505475
3136.0;0.3;0.9;-1.6;-0.4;3.6;7.7;-3.9;18.0;-18.9;55.60862003;13.00423998;43.17919921875;6.5119171142578125;173.5;1.2699999809265137;1.0;3.8586956521738993
4122.0;0.4;0.5;-3.7;0.4;3.0;5.800000000000001;22.8;17.7;6.699999999999999;55.60859719;13.00423223;44.8707275390625;4.907987594604492;178.10000610351562;1.3700000047683716;1.0;5.328947368421062
5119.0;1.0;0.7000000000000001;0.1;2.0;3.4000000000000004;9.6;-5.300000000000001;-15.7;6.300000000000001;55.60857881;13.00423577;45.42181396484375;4.282879829406738;173.1999969482422;1.4500000476837158;1.0;6.797872340425521
6119.0;0.3;-0.5;5.9;1.3;1.7000000000000002;15.4;-23.4;-25.4;-13.6;55.60856423;13.00424372;47.25006103515625;3.794236421585083;174.5;1.4299999475479126;1.0;8.146067415730329
7121.0;0.5;-0.5;-0.9;-0.6000000000000001;2.7;8.1;0.1;-50.5;16.6;55.6085525;13.00424759;46.70538330078125;3.790092468261719;173.0;1.4299999475479126;1.0;9.511363636363651
8136.0;0.2;-3.6;-2.9000000000000004;3.6;-2.0;6.1000000000000005;101.20000000000002;-6.4;4.1;55.60854158;13.00424806;46.488037109375;3.790092468261719;172.6999969482422;1.3799999952316284;1.0;11.012820512820513
9119.0;-0.2;-0.5;-2.4000000000000004;3.1;-0.7000000000000001;7.300000000000001;122.5;-13.7;15.5;55.60853086;13.00424486;46.50616455078125;3.790092468261719;174.8000030517578;1.3600000143051147;1.0;12.488636363636378
10136.0;1.1;0.4;5.0;4.800000000000001;-2.1;13.6;82.0;-35.0;30.4;55.60851905;13.00424304;46.835205078125;3.790092468261719;173.8000030517578;1.399999976158142;1.0;13.887640449438152
11135.0;0.1;1.4;7.0;3.9;-2.7;15.0;-55.5;3.4;15.000000000000002;55.60850573;13.00424323;47.14959716796875;3.790092468261719;171.1999969482422;1.4199999570846558;10.040650406504064;15.46999999999999
12135.0;0.9;1.6;2.5;4.800000000000001;-1.7000000000000002;10.4;-61.10000000000001;-5.0;-9.1;55.60849092;13.00424252;47.84075927734375;3.790092468261719;171.0;1.6100000143051147;11.041666666666664;16.84337349397579
13135.0;-0.9;2.0;-1.3;3.3000000000000003;-0.7000000000000001;7.2;-53.7;23.2;-32.6;55.60847619;13.00424232;47.6708984375;3.790092468261719;172.6999969482422;1.4700000286102295;13.071999999999992;18.416666666666696
14121.0;0.3;2.3000000000000003;0.2;4.6000000000000005;0.4;8.3;-91.8;25.300000000000004;18.200000000000003;55.60846212;13.00424251;47.08819580078125;3.790092468261719;168.6999969482422;1.4700000286102295;15.03968253968254;19.811111111111238
15119.0;1.0;-1.3;0.3;5.6000000000000005;-0.2;9.1;-49.6;-12.0;-11.000000000000002;55.60845037;13.00424502;46.67962646484375;3.790092468261719;170.3000030517578;1.4199999570846558;16.025210084033613;21.16470588235294
16139.0;1.0;-4.2;0.2;5.5;-4.0;8.700000000000001;-49.3;-12.7;-11.6;55.60843826;13.00424623;47.3419189453125;3.790092468261719;173.8000030517578;1.4199999570846558;18.071428571428587;22.68749999999996
17119.0;-1.2000000000000002;-3.7;-2.2;3.0;-3.1;6.800000000000001;55.7;-10.8;-19.200000000000003;55.60842627;13.00424567;47.30291748046875;3.790092468261719;175.60000610351562;1.409999966621399;20.039999999999996;24.13095238095239
