time;m_acc_x;m_acc_y;m_acc_z;m_accG_x;m_accG_y;m_accG_z;m_rotTate_alpha;m_rotTate_beta;m_rotTate_gamma;steps;distance
210.0;0.8;0.3;0.8;0.7000000000000001;1.6;10.6;-14.5;-7.500000000000001;-5.8;0.0;0.0
860.0;-0.4;-0.9;-0.4;-0.5;1.4;9.5;8.899999999999999;-13.6;16.900000000000002;1.0;1.0108695652173914
877.0;-0.5;-1.0;-0.4;-0.5;1.3;9.7;8.5;-11.7;13.4;1.0;1.032608695652174
894.0;-0.7000000000000001;-1.2000000000000002;-0.5;-0.7000000000000001;1.1;9.5;10.4;-8.3;8.899999999999999;1.0;1.0543478260869568
911.0;-0.9;-1.3;-0.6000000000000001;-0.7000000000000001;1.1;9.5;10.4;-8.3;8.899999999999999;1.0;1.0760869565217395
927.0;-1.1;-1.5;-1.0;-1.0;1.0;8.9;12.5;-7.400000000000001;10.4;1.0;1.0869565217391308
944.0;-0.9;-1.4;-1.4;-0.7000000000000001;1.2000000000000002;8.4;14.5;-7.300000000000001;14.1;1.0;1.1086956521739135
960.0;-0.7000000000000001;-1.2000000000000002;-2.0;-0.6000000000000001;1.3;7.9;21.4;-9.4;19.4;1.0;1.1304347826086962
977.0;-0.6000000000000001;-1.2000000000000002;-2.3000000000000003;-0.5;1.3;7.6;23.3;-7.6;21.6;1.0;1.152173913043479
993.0;-0.5;-1.2000000000000002;-2.5;-0.2;1.5;7.1000000000000005;23.3;-7.6;21.6;1.0;1.1739130434782616
1010.0;-0.3;-1.0;-3.0;-0.1;1.6;6.7;21.1;0.3;22.8;1.0;1.1956521739130443
1027.0;-0.3;-1.0;-3.0;-0.1;1.6;6.7;20.6;1.1;22.3;1.0;1.217391304347827
1043.0;-0.3;-1.0;-2.7;0.0;1.7000000000000002;6.9;20.6;1.1;22.3;1.0;1.2391304347826098
1061.0;-0.2;-1.0;-2.8000000000000003;0.1;1.8;6.7;23.6;-1.6;22.1;1.0;1.2608695652173925
1078.0;-0.2;-1.0;-2.7;0.1;1.8;6.800000000000001;23.4;-14.900000000000002;19.5;1.0;1.2826086956521752
1093.0;-0.2;-1.0;-2.2;0.1;1.8;7.2;13.3;-16.1;18.1;1.0;1.3043478260869579
1113.0;-0.2;-1.0;-1.0;0.2;1.8;8.200000000000001;0.4;-17.0;17.300000000000004;1.0;1.3260869565217406
1129.0;-0.1;-1.0;-0.3;0.5;1.8;9.5;-8.600000000000001;-20.0;15.9;1.0;1.3478260869565233
1145.0;0.3;-1.1;1.2000000000000002;0.9;1.6;10.7;-9.2;-27.0;13.1;1.0;1.369565217391306
1160.0;0.3;-1.2000000000000002;1.8;1.1;1.4;12.0;-9.2;-27.0;13.1;1.0;1.3913043478260887
1177.0;0.7000000000000001;-1.2000000000000002;3.2;1.6;1.5;12.7;-4.800000000000001;-35.1;11.000000000000002;1.0;1.4130434782608714
1193.0;0.9;-1.0;3.0;1.8;1.7000000000000002;12.5;4.6;-22.8;4.9;1.0;1.434782608695654
1210.0;0.9;-0.9;2.6;1.6;1.8;11.6;4.6;-22.8;4.9;1.0;1.4565217391304368
1227.0;0.4;-0.9;1.4;1.2000000000000002;1.9;10.4;6.4;-10.5;-0.3;1.0;1.4782608695652195
1243.0;0.1;-0.6000000000000001;-0.1;1.0;2.1;9.2;5.300000000000001;0.4;-4.7;1.0;1.4891304347826109
1260.0;-0.1;-0.5;-0.8;0.9;2.2;8.8;1.6;-12.7;-5.2;1.0;1.5108695652173936
1279.0;0.5;-0.4;0.7000000000000001;1.5;2.3000000000000003;10.1;-3.1;-20.1;-8.5;1.0;1.5326086956521763
1293.0;0.8;-0.4;1.2000000000000002;1.9;2.2;11.0;-3.1;-20.1;-8.5;1.0;1.554347826086959
1310.0;0.7000000000000001;-0.8;2.0;1.7000000000000002;1.7000000000000002;11.6;-16.200000000000003;-1.7;-22.1;1.0;1.5760869565217417
1327.0;0.4;-1.1;2.3000000000000003;1.0;1.1;12.2;-16.200000000000003;-1.7;-22.1;1.0;1.5978260869565244
1344.0;-0.3;-1.7000000000000002;2.8000000000000003;0.9;0.7000000000000001;12.5;-13.6;-1.7;-21.4;1.0;1.619565217391307
1360.0;0.3;-1.6;2.1;1.5;1.2000000000000002;11.4;10.2;-7.1000000000000005;-5.0;1.0;1.6413043478260898
1377.0;1.2000000000000002;-0.5;0.2;2.3000000000000003;2.1;9.8;10.8;-5.8;-5.9;1.0;1.6630434782608725
1394.0;1.5;0.0;-0.5;2.4000000000000004;2.7;8.8;10.8;-5.8;-5.9;1.0;1.6847826086956552
1411.0;1.1;0.2;-1.4;2.0;2.8000000000000003;8.1;2.9;-0.5;-14.2;1.0;1.6956521739130466
1427.0;0.6000000000000001;0.1;-1.8;1.6;2.6;7.9;-8.700000000000001;2.4000000000000004;-26.200000000000003;1.0;1.7173913043478293
1443.0;0.2;-0.2;-1.4;1.2000000000000002;2.3000000000000003;8.3;-3.0;-5.4;-24.7;1.0;1.739130434782612
1460.0;0.2;-0.4;-1.1;1.4;2.2;8.6;-3.0;-5.4;-24.7;1.0;1.7608695652173947
1477.0;0.7000000000000001;-0.4;-1.1;1.9;2.3000000000000003;8.4;21.200000000000003;-10.9;-17.0;1.0;1.7826086956521774
1494.0;1.2000000000000002;-0.2;-1.9;2.3000000000000003;2.5;7.6;29.200000000000003;-5.8;-18.8;1.0;1.80434782608696
1512.0;1.3;-0.1;-3.1;2.4000000000000004;2.7;6.5;29.200000000000003;1.2000000000000002;-24.1;1.0;1.8260869565217428
1527.0;1.1;-0.2;-3.6;1.9;2.6;5.7;29.200000000000003;1.2000000000000002;-24.1;1.0;1.8478260869565255
1545.0;0.2;-0.5;-3.8;1.1;2.4000000000000004;5.7;11.8;8.5;-31.4;1.0;1.891304347826091
1560.0;-0.3;-0.6000000000000001;-3.4000000000000004;0.2;2.2;6.5;11.8;8.5;-31.4;1.0;1.9130434782608736
1577.0;-1.1;-0.7000000000000001;-2.2;-0.3;2.2;7.5;5.500000000000001;8.2;-27.0;1.0;1.9347826086956563
1595.0;-1.1;-0.6000000000000001;-1.3;-0.2;2.4000000000000004;8.0;12.8;11.7;-9.2;1.0;1.956521739130439
1610.0;-0.9;-0.2;-1.5;-0.1;2.8000000000000003;7.7;18.0;16.8;-3.1;1.0;1.9782608695652217
1627.0;-0.9;-0.2;-2.1;-0.2;2.9000000000000004;7.0;18.0;16.8;-3.1;1.0;2.013157894736842
1643.0;-0.9;-0.1;-2.0;-0.2;3.0;7.5;14.300000000000002;16.3;1.8000000000000005;1.0;2.039473684210526
1660.0;-0.8;0.1;-0.7000000000000001;0.0;3.2;8.8;-8.5;2.5;15.3;1.0;2.06578947368421
1677.0;0.0;0.5;1.4;0.7000000000000001;3.5;10.5;-13.4;-10.0;18.9;1.0;2.0921052631578942
1694.0;0.5;0.6000000000000001;2.5;1.5;3.5;12.2;-13.4;-10.0;18.9;1.0;2.1184210526315783
1710.0;1.2000000000000002;0.6000000000000001;3.7;2.2;3.6;13.1;-4.5;-23.700000000000003;13.6;1.0;2.1447368421052624
1727.0;1.6;0.8;4.2;2.5;3.8;13.5;-3.0;-18.3;5.8;1.0;2.1710526315789465
1743.0;1.4;0.8;4.3;2.2;3.7;13.4;-3.0;-18.3;5.8;1.0;2.1973684210526305
1760.0;0.5;0.3;3.1;1.1;3.1;11.9;-8.3;11.1;-10.9;1.0;2.2105263157894726
1777.0;-0.3;0.0;1.9;-0.1;2.5;10.7;-8.3;11.1;-10.9;1.0;2.2368421052631566
1793.0;-1.3;-0.6000000000000001;1.3;-0.5;1.9;11.4;-18.4;6.1000000000000005;-9.1;1.0;2.2631578947368407
1810.0;-1.4;-1.1;3.2;-0.4;1.5;13.5;-27.4;-5.6;-2.3;1.0;2.2894736842105248
1827.0;-1.1;-1.4;5.1000000000000005;-0.1;1.2000000000000002;14.8;-6.4;-14.400000000000002;13.7;1.0;2.315789473684209
1844.0;-0.8;-1.8;4.800000000000001;0.2;0.9;14.3;20.3;-7.500000000000001;20.4;1.0;2.342105263157893
1861.0;-0.7000000000000001;-1.8;3.4000000000000004;0.4;1.0;11.6;20.3;-7.500000000000001;20.4;1.0;2.368421052631577
1879.0;-0.6000000000000001;-1.7000000000000002;-0.2;0.5;1.4;8.8;47.900000000000006;-7.500000000000001;29.0;1.0;2.394736842105261
1894.0;-0.3;-1.2000000000000002;-2.3000000000000003;0.9;1.9;7.1000000000000005;34.800000000000004;-15.3;28.1;1.0;2.421052631578945
1910.0;-0.1;-0.9;-2.7;1.2000000000000002;2.3000000000000003;7.0;34.800000000000004;-15.3;28.1;1.0;2.447368421052629
1927.0;0.1;-0.6000000000000001;-1.6;1.4;2.4000000000000004;8.4;11.4;-18.200000000000003;22.8;1.0;2.4736842105263133
1943.0;0.1;-0.6000000000000001;-0.7000000000000001;1.4;2.4000000000000004;8.4;-8.5;-15.5;16.0;1.0;2.4999999999999973
1960.0;0.4;-1.5;0.3;1.5;1.9;9.6;-12.8;-12.2;9.3;1.0;2.5263157894736814
1977.0;-1.1;-1.1;0.9;0.7000000000000001;1.7000000000000002;9.7;-3.5;-11.6;6.699999999999999;1.0;2.5526315789473655
1993.0;-0.2;-1.2000000000000002;-0.9;1.2000000000000002;1.8;8.4;24.7;-10.0;14.400000000000002;1.0;2.5657894736842075
2010.0;0.1;-1.0;-1.4;1.6;2.0;8.0;25.6;-10.8;14.6;1.0;2.5921052631578916
2027.0;0.4;-0.9;-1.5;2.2;2.3000000000000003;7.7;25.6;-10.8;14.6;1.0;2.6184210526315757
2046.0;0.9;-0.6000000000000001;-2.0;2.3000000000000003;2.5;7.0;24.3;-3.1;10.4;1.0;2.6447368421052597
