time;m_acc_x;m_acc_y;m_acc_z;m_accG_x;m_accG_y;m_accG_z;m_rotTate_alpha;m_rotTate_beta;m_rotTate_gamma;p_lat;p_long;p_alt;p_acc;p_head;p_speed;steps;distance
1734.0;-0.1;-2.1;-1.6;0.2;1.3;7.300000000000001;15.7;-10.6;11.000000000000002;55.61121572;12.98436223;80.428955078125;13.605812072753906;54.400001525878906;0.959999978542328;1.0;1.333333333333333
2745.0;2.3000000000000003;1.2000000000000002;5.7;8.4;5.5;12.2;55.900000000000006;-50.7;17.200000000000003;55.61119049;12.98438129;73.1900634765625;10.701648712158203;67.4000015258789;1.159999966621399;1.0;2.7261904761904736
3729.0;2.9000000000000004;3.0;2.9000000000000004;9.4;-3.7;5.1000000000000005;-81.50000000000001;35.599999999999994;-5.9;55.61116379;12.98439769;71.120361328125;10.298752784729004;67.4000015258789;0.8999999761581421;1.0;4.109999999999998
4730.0;1.4;2.4000000000000004;0.6000000000000001;9.3;-3.1;2.9000000000000004;-13.4;14.2;133.20000000000002;55.61115992;12.98443275;71.66168212890625;9.230450630187988;74.0999984741211;1.940000057220459;1.0;5.47142857142857
5745.0;2.1;-2.4000000000000004;-1.2000000000000002;11.2;-5.800000000000001;0.5;-6.8;-51.70000000000001;158.29999999999998;55.61115735;12.98445078;71.63677978515625;7.735778331756592;73.19999694824219;2.0;1.0;7.059523809523809
6729.0;-5.0;-10.0;-1.3;4.5;-9.2;1.1;-89.10000000000001;14.400000000000002;54.1;55.61115954;12.98446594;70.9075927734375;7.107008934020996;78.19999694824219;1.5099999904632568;1.0;8.499999999999982
7745.0;-5.300000000000001;-11.9;0.4;5.2;-9.7;1.7000000000000002;-13.5;8.2;-158.39999999999998;55.61116054;12.98448686;67.5369873046875;6.43910551071167;76.5;1.25;1.0;10.012195121951219
8745.0;-2.7;-6.4;1.2000000000000002;7.0;-8.5;2.3000000000000003;47.7;-14.6;-186.3;55.61116211;12.9845036;66.80706787109375;6.461596965789795;76.69999694824219;1.0399999618530271;1.0;11.488095238095273
9748.0;1.1;-1.5;3.0;9.4;-7.1000000000000005;4.800000000000001;44.10000000000001;-75.4;-152.70000000000002;55.61116111;12.98451928;66.10992431640625;6.285534858703613;77.69999694824219;0.7699999809265137;1.0;12.963414634146307
10745.0;8.200000000000001;3.5;-0.6000000000000001;15.2;-3.5;1.4;53.0;-17.6;-83.70000000000002;55.61115798;12.98453942;65.04205322265625;6.009888172149658;81.19999694824219;1.3700000047683716;1.0;14.518072289156633
11745.0;11.8;1.6;2.8000000000000003;16.900000000000002;-6.5;3.8;35.2;-81.90000000000002;124.2;55.61115466;12.98456517;63.62591552734375;6.076077938079834;82.30000305175781;1.409999966621399;1.0;16.01086956521739
12728.0;2.8000000000000003;2.5;-1.1;9.7;-4.2;0.7000000000000001;-44.2;56.2;61.0;55.61115332;12.98458993;63.587646484375;5.599234104156494;78.5;1.350000023841858;10.580645161290306;17.4333333333334
13745.0;2.0;4.2;-0.3;9.5;-2.0;1.8;8.600000000000001;43.8;104.0;55.61115138;12.98461434;62.47576904296875;5.423656940460205;77.69999694824219;1.3700000047683716;12.580645161290306;18.89156626506012
14745.0;1.7000000000000002;-4.6000000000000005;-0.7000000000000001;10.8;-8.0;1.0;36.3;-3.1;150.8;55.61114863;12.98463958;61.19732666015625;5.2222394943237305;85.5;1.4500000476837158;13.60504201680672;20.283783783783758
15748.0;-5.7;-9.2;1.9;3.8;-9.6;3.4000000000000004;-66.0;30.6;8.0;55.61114684;12.98466452;59.7537841796875;4.865032196044922;88.0;1.4199999570846558;15.603174603174601;21.845238095238155
16729.0;-4.6000000000000005;-5.800000000000001;1.5;5.5;-6.9;2.7;-21.200000000000003;-7.300000000000001;-123.4;55.61114563;12.98468764;59.38385009765625;4.548955917358398;86.0;1.3799999952316284;16.575999999999937;23.262499999999985
17745.0;-2.1;-4.2;1.7000000000000002;7.800000000000001;-7.0;2.3000000000000003;8.3;-53.50000000000001;-157.1;55.61114362;12.98470963;59.2431640625;4.407474040985107;77.4000015258789;1.2799999713897705;18.599999999999966;24.81707317073168
18729.0;2.3000000000000003;-1.0;0.9;10.1;-7.4;2.9000000000000004;-3.3000000000000007;-67.4;-103.6;55.61114135;12.98472613;59.0369873046875;4.398900508880615;90.9000015258789;1.0199999809265137;20.591999999999935;26.325842696629195
19745.0;8.6;2.4000000000000004;-3.3000000000000003;14.3;-5.1000000000000005;-0.4;-2.6;-5.6;-89.9;55.61113941;12.98474333;59.48193359375;4.307026386260986;89.9000015258789;1.2000000476837158;21.59677419354837;27.77380952380958
20745.0;10.5;2.2;2.3000000000000003;16.2;-5.800000000000001;4.1000000000000005;-18.200000000000003;-2.3;88.10000000000001;55.61113797;12.98476231;58.99566650390625;4.285177230834961;90.9000015258789;1.2599999904632568;23.611570247933997;29.323529411764763
21746.0;4.3;2.9000000000000004;-0.7000000000000001;10.2;-4.9;1.4;-60.3;85.9;59.60000000000001;55.61114007;12.98478293;59.0701904296875;4.208520889282227;70.30000305175781;1.4299999475479126;25.603174603174736;30.833333333333357
22728.0;0.5;1.3;0.6000000000000001;8.700000000000001;-4.1000000000000005;2.0;6.2;23.0;154.10000000000002;55.61114266;12.98480696;58.47698974609375;4.2029242515563965;79.4000015258789;1.399999976158142;27.585365853658516;32.337209302325505
23728.0;2.0;-5.0;0.3;11.3;-8.200000000000001;2.0;43.3;-5.9;180.9;55.61114736;12.98482648;57.86328125;4.152904987335205;66.80000305175781;1.3600000143051147;29.590163934426158;33.817073170731916
24745.0;-5.300000000000001;-8.200000000000001;0.9;5.4;-8.8;3.0;-77.3;41.900000000000006;95.0;55.61114854;12.98484961;57.2332763671875;4.084116458892822;88.5;1.4299999475479126;31.612903225806434;35.374999999999915
25744.0;-5.1000000000000005;-9.6;2.3000000000000003;5.1000000000000005;-9.4;3.3000000000000003;-30.8;-7.9;-95.20000000000002;55.61114946;12.9848738;56.48291015625;3.9885003566741934;74.4000015258789;1.3799999952316284;32.6000000000002;36.87640449438197
26728.0;-3.7;-6.1000000000000005;1.2000000000000002;6.5;-7.300000000000001;2.0;-7.500000000000001;-24.3;-163.80000000000004;55.61115368;12.98489654;56.371337890625;3.958047151565552;75.19999694824219;1.3700000047683716;34.57142857142844;38.58666666666676
27744.0;-1.5;-2.6;0.7000000000000001;8.200000000000001;-5.800000000000001;1.9;65.3;-61.50000000000001;-160.4;55.61115715;12.98491972;56.25030517578125;3.986307144165039;82.19999694824219;1.2699999809265137;36.568807339449634;40.23611111111106
28744.0;0.0;-0.6000000000000001;2.8000000000000003;8.3;-6.1000000000000005;4.5;7.8;-74.10000000000001;-152.5;55.61115975;12.98494;56.27935791015625;4.0512566566467285;75.0999984741211;1.2599999904632568;38.6080000000002;41.84146341463436
